industry_en,avg_rs_raw,n_stocks,leaders_80plus,group_rs_rating,leader_pct,industry_ko
Automotive aftermarket,15.02852411878025,7,3,99,42.9,자동차 애프터마켓
Homebuilding,14.504877516268223,10,5,98,50.0,홈빌딩
Electrical products,14.0445743371663,80,29,97,36.2,전기 제품
Major banks,13.116069638703975,6,5,95,83.3,주요 은행
Multi-line insurance,11.54453915544146,5,3,94,60.0,복합 보험
Industrial conglomerates,9.169276659688382,6,1,93,16.7,산업 복합 기업
Semiconductors,8.568852880167723,120,44,92,36.7,세미컨덕터
Oil refining/Marketing,8.256484573823716,7,3,91,42.9,정유/마케팅
Other transportation,3.6518207619284797,9,3,90,33.3,기타 교통수단
Electronic components,3.3591721041393394,60,19,88,31.7,전자 부품
Medical/Nursing services,2.2386255005218394,10,4,87,40.0,의료/간호 서비스
Household/Personal care,0.7567913501232315,45,15,86,33.3,가정/개인 위생용품
Wholesale distributors,0.27565352313638936,26,9,85,34.6,도매 유통업체
Department stores,-0.09202468856251969,10,4,84,40.0,백화점
Construction materials,-1.5517104064155738,25,4,82,16.0,건축 자재
Marine shipping,-3.1678907098785585,9,2,81,22.2,해상 운송
Computer communications,-3.7840390096121097,20,6,80,30.0,컴퓨터 통신
Telecommunications equipment,-4.85227494666691,50,12,79,24.0,통신 장비
Electronic equipment/Instruments,-4.903891408611806,56,14,78,25.0,전자 장비/기기
Food: specialty/candy,-5.1480185337195445,26,5,77,19.2,식품: 특산품/과자
Aluminum,-5.874589948731849,8,1,75,12.5,알루미늄
Gas distributors,-6.242012533499115,15,2,74,13.3,가스 유통업체
Industrial machinery,-6.446676210509127,180,43,73,23.9,산업용 기계
Steel,-6.806462665024859,55,11,72,20.0,스틸
Electronics/Appliances,-6.87205123550553,24,5,71,20.8,일렉트로닉스/어플라이언스
Computer peripherals,-6.894303043616963,23,6,69,26.1,컴퓨터 주변기기
Engineering & construction,-7.307595613957754,53,15,68,28.3,엔지니어링 및 건설
Financial conglomerates,-7.607784277182278,62,8,67,12.9,금융지주회사
Chemicals: specialty,-8.185628387084021,66,13,66,19.7,화학: 특수
Information technology services,-8.49832747309046,62,11,65,17.7,정보 기술 서비스
Regional banks,-8.783870275523265,6,1,64,16.7,지역 은행
Internet software/Services,-9.639574641002346,25,5,62,20.0,인터넷 소프트웨어/서비스
